ID,System,Alarm,Timestamp,Duration
276,System overview [276],Grid alarm: Grid lost,2024-07-18 16:22:17,"1m, 41s"
276,System overview [276],Grid alarm: Grid lost,2024-07-18 14:55:14,"1m, 46s"
276,System overview [276],Grid alarm: Grid lost,2024-07-17 11:03:49,"2m, 18s"
276,System overview [276],Grid alarm: Grid lost,2024-07-15 12:46:40,"2m, 13s"
276,System overview [276],Grid alarm: Grid lost,2024-07-14 18:19:16,"9h, 1m, 31s"
276,System overview [276],Grid alarm: Grid lost,2024-07-14 00:49:24,"1m, 57s"
276,System overview [276],Grid alarm: Grid lost,2024-07-13 22:11:17,"1m, 57s"
276,System overview [276],Grid alarm: Grid lost,2024-07-13 09:36:09,"6h, 8m, 40s"
276,System overview [276],Grid alarm: Grid lost,2024-07-11 22:11:47,"2m, 34s"
276,System overview [276],Grid alarm: Grid lost,2024-07-11 06:32:20,"2m, 11s"
276,System overview [276],Grid alarm: Grid lost,2024-07-10 21:44:54,"3m, 33s"
276,System overview [276],Grid alarm: Grid lost,2024-07-10 20:57:07,"47m, 8s"
276,System overview [276],Grid alarm: Grid lost,2024-07-10 02:44:34,"2m, 22s"
276,System overview [276],Grid alarm: Grid lost,2024-07-07 02:23:39,"2m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-07-03 23:06:41,"2m, 11s"
276,System overview [276],Grid alarm: Grid lost,2024-07-03 09:44:46,"7h, 7m, 1s"
276,System overview [276],Grid alarm: Grid lost,2024-06-27 11:46:41,"1h, 55m, 42s"
276,System overview [276],Grid alarm: Grid lost,2024-06-27 00:46:52,"1h, 38m, 59s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 19:40:56,"2m, 12s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 16:04:16,"3m, 9s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 06:15:17,"1h, 38m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 05:16:11,"58m, 31s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 05:12:27,"3m, 37s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 03:10:02,"44m, 56s"
276,System overview [276],Grid alarm: Grid lost,2024-06-26 00:51:44,"3m, 10s"
276,System overview [276],Grid alarm: Grid lost,2024-06-25 17:50:08,"4h, 1m, 12s"
276,System overview [276],Grid alarm: Grid lost,2024-06-25 13:51:06,"3h, 46m, 2s"
276,System overview [276],Grid alarm: Grid lost,2024-06-25 02:28:47,"1h, 31m, 5s"
276,System overview [276],Grid alarm: Grid lost,2024-06-21 17:05:55,"1m, 52s"
276,System overview [276],Grid alarm: Grid lost,2024-06-18 15:08:32,"2m, 32s"
276,System overview [276],Grid alarm: Grid lost,2024-06-17 05:01:35,"1h, 52m, 9s"
276,System overview [276],Grid alarm: Grid lost,2024-06-15 09:53:33,"56m, 17s"
276,System overview [276],Grid alarm: Grid lost,2024-06-14 04:36:12,"2m, 44s"
276,System overview [276],Grid alarm: Grid lost,2024-06-11 09:23:25,"7m, 56s"
276,System overview [276],Grid alarm: Grid lost,2024-06-10 02:52:26,"3m, 3s"
276,System overview [276],Grid alarm: Grid lost,2024-06-07 03:05:49,"1m, 18s"
276,System overview [276],Grid alarm: Grid lost,2024-06-07 02:23:52,"3m, 13s"
276,System overview [276],Grid alarm: Grid lost,2024-06-07 00:07:05,"1h, 36m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-06-06 21:19:30,"58m, 1s"
276,System overview [276],Grid alarm: Grid lost,2024-06-06 10:25:26,27s
276,System overview [276],Grid alarm: Grid lost,2024-06-05 00:46:54,"2m, 10s"
276,System overview [276],Grid alarm: Grid lost,2024-06-03 15:50:03,"18m, 2s"
276,System overview [276],Grid alarm: Grid lost,2024-06-03 08:25:18,"2h, 56s"
276,System overview [276],Grid alarm: Grid lost,2024-06-02 23:15:36,"2m, 33s"
276,System overview [276],Grid alarm: Grid lost,2024-06-02 04:15:17,"1m, 45s"
276,System overview [276],Grid alarm: Grid lost,2024-06-01 04:24:05,"56m, 21s"
276,System overview [276],Grid alarm: Grid lost,2024-05-31 15:54:04,"14m, 11s"
276,System overview [276],Grid alarm: Grid lost,2024-05-31 14:11:07,"27m, 22s"
276,System overview [276],Grid alarm: Grid lost,2024-05-31 12:20:07,"1m, 12s"
276,System overview [276],Grid alarm: Grid lost,2024-05-31 09:53:00,"1h, 38m, 6s"
276,System overview [276],Grid alarm: Grid lost,2024-05-31 09:50:50,"1m, 59s"
276,System overview [276],Grid alarm: Grid lost,2024-05-31 03:23:41,"13m, 45s"
276,System overview [276],Grid alarm: Grid lost,2024-05-30 22:06:14,"2m, 56s"
276,System overview [276],Grid alarm: Grid lost,2024-05-30 19:47:10,"1m, 6s"
276,System overview [276],Grid alarm: Grid lost,2024-05-30 17:09:09,"1h, 52m, 10s"
276,System overview [276],Grid alarm: Grid lost,2024-05-27 13:26:27,"2m, 20s"
276,System overview [276],Grid alarm: Grid lost,2024-05-24 19:57:37,32s
276,System overview [276],Grid alarm: Grid lost,2024-05-23 09:39:06,"5h, 44m, 42s"
276,System overview [276],Grid alarm: Grid lost,2024-05-22 09:45:28,"2m, 40s"
276,System overview [276],Grid alarm: Grid lost,2024-05-20 03:37:34,"3m, 22s"
276,System overview [276],Grid alarm: Grid lost,2024-05-18 14:45:28,"2m, 30s"
276,System overview [276],Grid alarm: Grid lost,2024-05-18 03:55:41,"15m, 46s"
276,System overview [276],Grid alarm: Grid lost,2024-05-18 02:16:26,"37m, 47s"
276,System overview [276],Grid alarm: Grid lost,2024-05-18 00:32:33,"1m, 47s"
276,System overview [276],Grid alarm: Grid lost,2024-05-17 20:09:33,"2h, 53m, 54s"
276,System overview [276],Grid alarm: Grid lost,2024-05-15 22:56:14,"1h, 46m, 8s"
276,System overview [276],Grid alarm: Grid lost,2024-05-14 04:35:43,"1m, 59s"
276,System overview [276],Grid alarm: Grid lost,2024-05-13 01:39:32,"44m, 53s"
276,System overview [276],Grid alarm: Grid lost,2024-05-11 23:03:12,"1m, 54s"
276,System overview [276],Grid alarm: Grid lost,2024-05-10 22:29:37,"2m, 5s"
276,System overview [276],Grid alarm: Grid lost,2024-05-07 08:45:12,"9m, 39s"
276,System overview [276],Grid alarm: Grid lost,2024-05-05 23:31:42,"1m, 58s"
276,System overview [276],Grid alarm: Grid lost,2024-05-03 09:44:53,"5h, 45m, 7s"
276,System overview [276],Grid alarm: Grid lost,2024-04-30 08:51:27,"1m, 46s"
276,System overview [276],Grid alarm: Grid lost,2024-04-29 13:14:43,"3m, 5s"
276,System overview [276],Grid alarm: Grid lost,2024-04-29 09:41:07,"2m, 26s"
276,System overview [276],Grid alarm: Grid lost,2024-04-27 21:41:36,"1h, 36m, 3s"
276,System overview [276],Grid alarm: Grid lost,2024-04-27 21:36:59,"2m, 49s"
276,System overview [276],Grid alarm: Grid lost,2024-04-24 22:16:30,"2m, 23s"
276,System overview [276],Grid alarm: Grid lost,2024-04-20 18:58:27,"2m, 5s"
276,System overview [276],Grid alarm: Grid lost,2024-04-20 10:19:50,"2m, 22s"
276,System overview [276],Grid alarm: Grid lost,2024-04-19 17:44:47,27s
276,System overview [276],Grid alarm: Grid lost,2024-04-18 14:05:57,20s
276,System overview [276],Grid alarm: Grid lost,2024-04-14 16:14:24,"2m, 12s"
276,System overview [276],Grid alarm: Grid lost,2024-04-14 15:39:10,"1m, 56s"
276,System overview [276],Grid alarm: Grid lost,2024-04-13 18:05:57,"2m, 35s"
276,System overview [276],Grid alarm: Grid lost,2024-04-13 16:07:51,"2m, 25s"
276,System overview [276],Grid alarm: Grid lost,2024-04-10 19:45:03,"2m, 13s"
276,System overview [276],Grid alarm: Grid lost,2024-04-08 23:25:43,"2m, 53s"
276,System overview [276],Grid alarm: Grid lost,2024-04-08 04:47:34,"2m, 4s"
276,System overview [276],Grid alarm: Grid lost,2024-04-07 20:59:48,"15m, 38s"
276,System overview [276],Grid alarm: Grid lost,2024-04-07 20:10:53,"28m, 2s"
276,System overview [276],Grid alarm: Grid lost,2024-04-07 17:39:22,"1h, 7m, 30s"
276,System overview [276],Grid alarm: Grid lost,2024-04-05 00:17:39,"1h, 22m"
